                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.3041,                 1.1995,                 1.2371,                0.40565,                0.52893,                0.35085,                0.12852,                 2.2098,                 2.0265,                 2.1017,              0.0003368,              0.0003368,              0.0003368
                     86,                    1.3,                 1.1743,                 1.2555,                0.38222,                0.53719,                 0.3558,                0.13946,                 2.1994,                 2.0266,                 2.0871,               0.000317,               0.000317,               0.000317
                     87,                 1.3634,                 1.2141,                 1.2693,                0.38283,                0.52066,                0.35798,                0.14243,                 2.1901,                 2.0251,                 2.0904,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2768,                 1.2454,                 1.2407,                0.39715,                0.54991,                0.36541,                0.13973,                 2.1887,                 2.0536,                 2.1127,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3108,                 1.1296,                 1.2544,                0.39462,                0.53873,                0.37087,                0.14062,                 2.2011,                 2.0634,                 2.1282,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2519,                  1.167,                 1.2538,                 0.3857,                0.52066,                0.35153,                0.13841,                 2.2172,                 2.0741,                 2.1516,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2437,                 1.1117,                 1.2423,                0.38755,                0.52893,                0.33721,                0.13183,                 2.2289,                 2.0897,                 2.1666,               0.000218,               0.000218,               0.000218
                     92,                 1.2406,                 1.1128,                 1.2473,                0.35225,                0.47934,                0.31196,                0.12281,                 2.2327,                 2.1608,                 2.1637,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2514,                 1.1436,                 1.2622,                0.36476,                0.47934,                0.31526,                0.11997,                 2.2257,                 2.1919,                  2.157,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2001,                 1.0975,                    1.2,                0.37309,                0.48693,                0.31743,                0.12259,                 2.2288,                 2.2081,                 2.1667,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2422,                 1.1018,                 1.2274,                0.36407,                0.47934,                0.31198,                0.12132,                 2.2327,                 2.2016,                 2.1711,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1857,                 1.0492,                 1.1903,                0.34712,                0.47107,                0.30623,                0.12246,                 2.2355,                 2.1843,                 2.1845,               0.000119,               0.000119,               0.000119
                     97,                 1.2029,                 1.1097,                 1.1933,                0.36452,                0.49587,                0.31837,                0.12297,                 2.2396,                  2.172,                 2.1883,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2516,                  1.101,                 1.2783,                0.36593,                0.51512,                0.31771,                0.12375,                 2.2376,                 2.1592,                 2.1861,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1389,                 1.0672,                 1.1755,                0.36085,                0.51793,                0.32065,                0.12551,                 2.2399,                 2.1545,                 2.1869,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1838,                 1.0393,                 1.1838,                0.37152,                0.51786,                0.32081,                0.12715,                 2.2391,                 2.1505,                 2.1818,               3.98e-05,               3.98e-05,               3.98e-05
